2022-08-27 20:08:32,213 训练次数：16 , loss :2.563232183456421
2022-08-27 20:08:32,216 训练次数：17 , loss :2.5663983821868896
2022-08-27 20:08:32,219 训练次数：18 , loss :2.562166690826416
2022-08-27 20:08:32,221 训练次数：19 , loss :2.5649466514587402
2022-08-27 20:08:32,223 训练次数：20 , loss :2.5639281272888184
2022-08-27 20:08:32,225 训练次数：21 , loss :2.565561294555664
2022-08-27 20:08:32,227 训练次数：22 , loss :2.5664429664611816
2022-08-27 20:08:32,228 训练次数：23 , loss :2.567962646484375
2022-08-27 20:08:32,230 训练次数：24 , loss :2.5643150806427
2022-08-27 20:08:34,738 --------------第5轮训练开始--------------
2022-08-27 20:08:36,802 训练次数：1 , loss :2.564687967300415
2022-08-27 20:08:36,812 训练次数：2 , loss :2.561952590942383
2022-08-27 20:08:36,814 训练次数：3 , loss :2.5679855346679688
2022-08-27 20:08:36,816 训练次数：4 , loss :2.567507028579712
2022-08-27 20:08:36,818 训练次数：5 , loss :2.565805673599243
2022-08-27 20:08:36,820 训练次数：6 , loss :2.5660409927368164
2022-08-27 20:08:36,822 训练次数：7 , loss :2.5678467750549316
2022-08-27 20:08:36,824 训练次数：8 , loss :2.5602457523345947
2022-08-27 20:08:36,826 训练次数：9 , loss :2.563751697540283
2022-08-27 20:08:36,828 训练次数：10 , loss :2.565197467803955
2022-08-27 20:08:36,830 训练次数：11 , loss :2.5684471130371094
2022-08-27 20:08:36,833 训练次数：12 , loss :2.568194627761841
2022-08-27 20:08:36,835 训练次数：13 , loss :2.562042474746704
2022-08-27 20:08:36,837 训练次数：14 , loss :2.563603162765503
2022-08-27 20:08:36,839 训练次数：15 , loss :2.5633230209350586
2022-08-27 20:08:36,842 训练次数：16 , loss :2.5631983280181885
2022-08-27 20:08:36,844 训练次数：17 , loss :2.566382884979248
2022-08-27 20:08:36,846 训练次数：18 , loss :2.5621438026428223
2022-08-27 20:08:36,848 训练次数：19 , loss :2.5649256706237793
2022-08-27 20:08:36,850 训练次数：20 , loss :2.5639092922210693
2022-08-27 20:08:36,854 训练次数：21 , loss :2.565552234649658
2022-08-27 20:08:36,857 训练次数：22 , loss :2.5664243698120117
2022-08-27 20:08:36,859 训练次数：23 , loss :2.5679495334625244
2022-08-27 20:08:36,861 训练次数：24 , loss :2.5642943382263184
2022-08-27 20:08:39,397 --------------第6轮训练开始--------------
2022-08-27 20:08:41,420 训练次数：1 , loss :2.5646536350250244
2022-08-27 20:08:41,422 训练次数：2 , loss :2.561910629272461
2022-08-27 20:08:41,424 训练次数：3 , loss :2.567962408065796
2022-08-27 20:08:41,425 训练次数：4 , loss :2.567493200302124
2022-08-27 20:08:41,427 训练次数：5 , loss :2.5657920837402344
2022-08-27 20:08:41,429 训练次数：6 , loss :2.566032648086548
2022-08-27 20:08:41,431 训练次数：7 , loss :2.567826271057129
2022-08-27 20:08:41,433 训练次数：8 , loss :2.560211181640625
