18,2022/8/22 22:34:45,129秒,手机提交,直接访问,111.26.3.197(吉林-四平),1,3,1,2,8,2,(空),5,4,2,3,2,4,4,4,3,3,4,4,3,4,3,4,3,5,2,3,1,3,4,4,1,3,2,5,5,4,2,3,5,4,3,4,5,5,3,3,3,2,5,3,3,5,3,3,5,3,5,4,3,5,3,5,2,4,5,3,3,5,4,5,3,5,3,5,2,4,2,5,2,2,3,4,5,3,5,2,2,4,2,2,294
19,2022/8/22 22:34:47,157秒,手机提交,直接访问,111.26.2.212(吉林-延边),1,3,2,1,8,2,(空),3,3,2,2,3,4,4,3,3,2,2,2,3,3,2,4,4,4,4,4,4,5,5,5,5,1,4,4,4,4,4,2,4,1,4,3,4,4,4,2,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,5,5,5,5,5,5,5,3,3,4,4,4,3,4,4,4,4,5,5,5,5,5,5,320
20,2022/8/22 22:34:52,109秒,手机提交,直接访问,202.98.13.237(吉林-长春),1,4,3,2,1,1,女性学,3,3,3,3,3,5,5,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,252
21,2022/8/22 22:35:02,130秒,手机提交,直接访问,111.26.2.179(吉林-延边),2,2,1,1,8,2,(空),3,3,3,4,4,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,5,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,261
22,2022/8/22 22:35:03,75秒,手机提交,直接访问,139.215.46.63(吉林-长春),1,2,4,2,8,1,离散数学,5,5,1,1,1,5,5,5,5,2,2,5,5,4,1,4,4,5,5,4,3,4,4,2,2,4,4,4,5,5,4,2,4,4,4,4,4,4,4,5,4,2,4,4,4,5,4,2,5,4,3,4,4,4,4,4,4,4,5,5,5,5,1,5,5,5,5,5,4,4,4,4,5,4,5,4,5,4,4,4,4,4,4,4,334
23,2022/8/22 22:35:17,189秒,手机提交,直接访问,111.26.3.26(吉林-四平),2,1,1,2,8,4,(空),4,4,3,2,2,3,4,4,4,2,3,3,4,3,2,3,4,5,4,3,2,4,4,2,1,4,4,5,4,4,4,1,3,2,3,3,4,4,3,4,4,3,5,4,4,5,4,3,4,4,3,4,4,3,4,4,3,3,4,2,5,5,4,3,3,4,3,3,3,3,4,4,4,3,4,1,2,4,5,5,4,5,4,5,299
24,2022/8/22 22:35:17,150秒,手机提交,直接访问,223.104.16.70(吉林-长春),1,2,5,2,7,2,(空),5,5,1,1,1,5,5,5,5,1,1,5,5,5,1,5,5,5,5,5,1,5,5,1,1,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,372
25,2022/8/22 22:35:21,198秒,链接,直接访问,202.98.13.211(吉林-长春),1,3,5,2,8,2,面向对象程序设计,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,108
26,2022/8/22 22:35:25,194秒,手机提交,直接访问,111.26.2.118(吉林-延边),2,1,1,2,8,2,(空),4,4,3,3,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,5,5,3,3,4,4,4,4,2,4,3,4,4,2,4,4,3,2,4,3,4,4,4,4,4,4,3,4,2,4,3,4,4,4,3,3,4,4,3,3,4,4,4,3,4,2,3,3,4,4,4,4,3,4,3,4,4,4,4,4,4,306
27,2022/8/22 22:35:33,168秒,手机提交,直接访问,111.26.3.221(吉林-四平),2,3,3,2,8,2,(空),3,3,4,4,3,1,3,2,3,4,2,4,4,4,3,4,4,3,4,4,3,4,4,2,2,3,4,4,4,4,4,2,4,3,4,4,4,3,4,4,4,3,3,4,4,3,3,3,3,4,4,3,3,4,4,3,3,4,4,4,4,4,3,4,4,3,4,3,2,3,2,3,3,3,2,2,3,3,4,4,3,4,4,3,285
